f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
-4.2255,13.8502,7.3339,5.3259,-10.4624,-9.9016,-12.3456,11.2652,2.3638,6.5333,0
-2.1533,11.9817,7.1593,1.9096,-8.5269,-12.6049,-14.0959,11.5511,5.3817,6.1436,0
-4.5966,16.3432,4.7878,-0.3385,-9.6594,-11.0732,-14.7893,12.0478,3.3992,5.3961,0
-5.6843,14.8301,7.9351,2.811,-7.5495,-11.9253,-15.5458,9.9474,2.9651,6.6072,0
-4.1257,14.0495,5.0825,5.1254,-10.4427,-8.6442,-12.7434,11.6704,3.8881,6.9137,0
-2.7997,15.5152,7.2546,4.0233,-10.454,-8.16,-14.2721,13.6867,2.9732,4.096,0
-3.5716,12.4999,8.2208,1.9808,-10.9887,-13.1545,-13.936,7.3495,0.6576,7.3828,0
-2.5851,14.1596,5.5094,2.8882,-10.3248,-12.0577,-11.0024,12.3013,2.702,6.2825,0
-3.4512,10.4588,6.5891,1.9368,-11.8219,-10.7418,-10.561,11.9465,2.1767,7.1011,0
-1.6648,14.9084,7.0493,1.9893,-9.2721,-9.7299,-11.9147,11.938,4.6078,5.4393,0
-1.7877,13.8178,10.0727,1.926,-7.7155,-10.0233,-14.2346,10.2595,2.5529,6.8784,0
-2.9795,12.6609,6.9233,6.1732,-7.7281,-9.6657,-13.2005,11.1653,3.9537,4.708,0
-4.1499,11.0186,7.5587,3.9305,-11.0442,-7.9592,-15.0961,8.7887,3.3701,7.8128,0
-1.2379,12.8331,8.5778,2.902,-10.5784,-8.9947,-12.279,8.6207,5.2483,8.3123,0
-4.7021,14.1151,7.7009,3.3508,-11.1449,-11.3276,-13.2958,12.7444,3.8489,5.6863,0
-2.6062,9.2486,8.683,0.3502,-10.8631,-11.9997,-15.1995,12.7265,2.3319,6.7619,0
-3.8342,14.237,7.0751,1.0353,-8.825,-11.0608,-15.5924,10.3431,5.2846,7.5175,0
-4.2868,12.9975,6.4774,6.0749,-9.7465,-9.6751,-11.7121,11.3435,2.6449,5.9477,0
-3.8712,13.4656,8.0513,3.0377,-9.2205,-10.4412,-13.1395,7.988,4.4079,6.7619,0
-2.2668,9.177,10.0924,2.7504,-8.6572,-11.88,-12.3383,9.4052,2.0978,9.1132,0
-4.0498,13.8476,8.2649,3.7033,-10.0938,-9.7727,-9.6524,10.8989,3.3351,7.8182,0
-2.1055,15.302,7.9179,1.2452,-7.8693,-12.0397,-12.8035,9.8539,2.9372,6.7353,0
-3.2818,14.1543,9.3804,3.6401,-10.6857,-8.874,-11.4733,9.1439,3.9296,7.2939,0
-4.2101,15.585,6.7347,3.1481,-10.579,-10.2968,-14.9019,8.8252,5.4252,4.9717,0
-5.2509,10.2913,6.0014,0.9751,-7.8564,-8.8054,-14.2897,14.3639,4.5061,5.7549,0
-7.5129,16.9578,4.8755,0.4917,-8.7856,-6.6605,-11.1811,11.8311,3.9256,7.5223,0
-2.6254,13.9432,7.1161,2.8659,-11.4504,-10.7412,-15.7969,10.8378,1.5506,4.5868,0
-3.494,15.6094,8.3373,0.604,-11.8039,-8.909,-14.7312,10.6483,3.8585,4.7897,0
-3.6057,11.5204,6.0578,3.4394,-12.7089,-9.6595,-13.2869,11.814,3.3693,8.2884,0
-3.576,12.8773,7.1433,3.7747,-10.2462,-10.2593,-14.3105,9.9909,0.9295,8.8665,0
-5.6296,12.4821,5.8822,4.3021,-10.7619,-8.4486,-14.2677,11.4038,1.7804,9.4599,0
-5.5452,13.9862,7.9105,3.5805,-10.5974,-10.5149,-13.1918,10.7648,4.4793,9.558,0
-4.6,11.4667,6.8274,6.8293,-11.525,-7.8615,-10.7409,10.1549,3.8869,8.6848,0
-4.3325,13.2161,6.0873,1.4376,-11.2934,-12.1561,-13.2064,9.8303,3.3841,3.9083,0
-3.2675,14.7717,3.9692,3.5208,-8.4779,-12.1346,-10.7486,11.6138,1.9759,6.1585,0
-2.9263,13.6354,7.768,1.5787,-10.0654,-12.4407,-13.4243,9.6294,1.9302,8.0963,0
-2.1268,14.4351,5.3213,2.4851,-8.4998,-10.1076,-9.7785,11.5753,3.3215,5.7785,0
-3.5635,13.2927,8.022,4.3948,-11.4984,-12.317,-16.0118,11.7473,1.3784,3.0128,0
-3.1809,17.2609,6.9507,4.2175,-10.1967,-10.4685,-11.8789,10.5499,3.4345,6.7247,0
-4.7659,15.0095,6.6974,1.8261,-9.5147,-11.6679,-13.2152,10.9716,4.6623,6.9542,0
-3.8013,14.7481,9.0451,3.7965,-10.3039,-12.2879,-14.8552,10.5274,2.1192,5.9617,0
-3.6788,14.316,6.8541,3.6895,-10.2227,-13.2834,-14.6665,10.7692,1.2189,7.1421,0
-1.4677,15.3496,6.6397,5.1958,-10.0964,-10.8258,-14.1776,10.5316,2.4512,6.4978,0
-3.5229,13.526,7.6152,4.7457,-8.8951,-12.5475,-17.0884,12.3868,0.9831,5.905,0
-5.519,10.8185,7.772,4.0985,-11.1842,-14.2067,-14.0769,11.573,0.8151,6.5172,0
-3.7868,14.3904,7.1392,1.5002,-8.5246,-10.558,-13.2984,9.5854,2.3685,4.915,0
-4.0232,16.089,4.902,0.5394,-8.1127,-10.6341,-14.2611,12.5451,2.125,8.9812,0
-2.7469,12.7896,10.1958,2.0512,-9.2063,-9.8712,-11.3049,13.3276,3.0815,5.1121,0
-3.0738,12.5049,9.9799,3.1646,-10.8674,-10.0431,-15.2782,9.5279,4.8341,5.2568,0
-5.3342,14.3264,8.7384,4.0382,-8.8254,-11.4554,-15.3902,13.2373,2.5494,5.8659,0
-1.7715,14.3558,7.6436,6.2073,-11.2847,-8.9284,-13.172,11.3882,5.3262,7.0039,0
-2.9564,15.1302,6.4124,1.7009,-11.8867,-13.2697,-10.1732,9.3305,2.7016,5.827,0
-3.3027,14.745,8.2505,2.0851,-10.5701,-9.8963,-13.6305,13.3963,3.7699,7.3445,0
-2.7695,15.2816,7.2314,1.0145,-9.7199,-11.2972,-14.0504,11.8648,4.8909,6.2741,0
-3.3005,16.0748,7.3209,6.8623,-9.4712,-12.9613,-12.1275,11.557,4.9681,7.2519,0
-3.9715,11.685,6.6463,1.684,-11.1902,-9.4373,-10.7526,11.5773,1.2396,6.9091,0
-1.9688,12.6068,6.7588,2.9818,-11.4968,-9.3477,-13.4389,11.6146,1.7022,5.586,0
-2.6802,12.9622,9.5503,2.3603,-9.9824,-8.9213,-15.385,8.3441,0.745,8.1361,0
-4.5916,17.3587,6.1134,3.2366,-8.0063,-7.311,-10.1652,12.7978,4.5695,7.131,0
-2.5963,12.6947,5.7325,2.9547,-10.5747,-11.0,-12.2129,12.4182,3.1661,8.4585,0
-5.4763,13.2309,5.8846,0.1599,-10.4435,-10.5028,-10.9873,11.9315,1.4972,9.0233,0
-1.9322,14.3946,6.6201,1.5206,-10.8778,-8.687,-10.4306,13.3001,2.3002,4.5628,0
-3.5525,10.8688,7.4446,2.7384,-11.0185,-12.7122,-12.4871,10.1862,1.2786,1.9338,0
-3.8051,16.1798,9.4517,2.2741,-11.2228,-9.617,-14.7551,11.438,4.1826,8.0826,0
-3.914,13.2159,5.6428,1.7194,-10.6592,-9.7691,-11.8871,9.7805,5.2725,5.8355,0
-3.7958,12.4006,3.3235,4.2858,-9.2142,-10.7422,-13.157,11.7592,0.6896,5.4486,0
-2.5724,11.64,7.4002,0.9249,-9.6198,-10.3736,-15.6802,12.7324,1.9316,5.0268,0
-3.4629,15.2444,5.4361,3.0523,-9.6762,-9.2805,-12.9928,10.4347,1.7921,6.3714,0
-5.372,9.1394,7.6147,4.3157,-13.8638,-11.8348,-12.3288,14.0715,3.0646,5.1502,0
-4.0381,15.5837,5.9909,1.761,-11.0436,-11.7502,-13.0735,13.4223,3.5181,5.8636,0
-4.2015,11.1766,8.2845,2.843,-10.5902,-5.5305,-12.8094,9.8576,2.3939,7.9648,0
-3.5939,11.364,8.3387,1.9575,-7.5095,-8.7001,-13.9285,12.9068,3.1352,7.5213,0
-3.0367,12.2519,5.9945,4.5047,-10.8216,-10.9256,-14.6902,11.6207,6.1272,4.6409,0
-3.7275,15.6398,6.8404,3.6383,-11.913,-9.6777,-13.5382,12.4639,4.8145,10.1265,0
-2.8943,14.0101,7.2514,2.43,-9.8117,-10.7633,-13.0048,12.9617,1.5236,7.952,0
-1.7881,13.3443,3.777,2.048,-8.3739,-10.3545,-14.7564,10.2281,4.2944,7.0623,0
-4.1222,12.9712,6.3722,1.5761,-7.8964,-10.8036,-11.4318,13.2673,4.5309,5.5947,0
-3.1582,13.4851,5.6043,3.4463,-12.088,-8.5386,-13.9544,11.287,3.4584,5.8538,0
-2.8838,12.8091,8.2668,0.9408,-10.1299,-7.4118,-14.758,9.9687,3.8043,6.5116,0
-3.2379,14.2552,7.9119,4.6243,-9.7047,-10.6821,-12.2486,13.8351,2.8345,4.7804,0
-2.1032,13.3409,3.7008,4.2309,-11.1224,-10.456,-12.7595,11.271,4.0976,5.5889,0
-2.9941,13.1321,8.068,3.8828,-11.7226,-8.6912,-14.0614,12.1974,3.5844,8.9995,0
-4.099,12.9975,6.9307,2.505,-9.1195,-12.7446,-14.838,9.3836,4.4589,8.8081,0
-3.9205,13.2682,7.0649,4.7026,-11.7105,-9.9626,-11.7947,11.7369,3.3178,7.7437,0
-7.8186,14.5382,5.9787,0.2138,-9.5526,-8.2597,-13.4637,12.4146,5.4519,8.2145,0
-1.3038,14.6346,7.073,0.5568,-10.6885,-11.585,-10.0011,10.7215,3.2183,7.0694,0
-3.6984,16.064,6.0258,3.2517,-11.4331,-12.3002,-14.1751,10.9297,2.3895,5.2035,0
-5.8733,13.3968,4.7027,4.0998,-10.1958,-12.5065,-13.7213,9.857,3.5122,8.2529,0
-6.5766,13.694,6.7196,3.9668,-9.9996,-11.4481,-13.7361,9.7912,4.6475,6.2741,0
-0.912,13.4304,5.8972,0.6892,-13.0242,-12.6964,-12.8568,11.7484,0.6617,7.5847,0
-4.4884,13.7416,9.3781,4.305,-10.7222,-11.657,-16.4852,9.9066,2.7168,4.7614,0
-3.9607,13.6367,6.6225,1.9848,-10.0665,-9.6573,-14.8931,13.1017,2.8856,6.2705,0
-2.7015,13.8713,8.3895,3.3904,-11.2381,-9.7779,-14.9731,11.1481,2.9836,5.93,0
-3.9566,10.6987,6.1367,3.099,-10.0797,-11.8617,-11.3589,9.686,4.4876,6.883,0
-4.7331,16.1844,5.1694,4.3385,-8.8186,-11.3261,-11.1688,10.6102,3.4665,6.6327,0
-3.9653,14.7376,8.1501,0.337,-8.3629,-12.8139,-11.7087,12.6753,1.397,5.626,0
-5.4224,13.199,6.4978,4.1292,-8.354,-8.2266,-14.1007,10.6715,0.5083,5.0334,0
-2.3165,15.9448,5.1083,2.0711,-10.359,-9.8999,-14.4719,11.6214,2.3227,6.2205,0
-2.9444,13.5311,6.3052,2.7953,-10.452,-10.8752,-13.6457,13.3833,3.8748,5.799,0
-2.7184,13.0207,8.7195,3.5142,-10.4804,-9.6486,-15.6138,9.2951,1.2426,6.4566,0
-1.165,16.8684,7.9169,3.711,-13.021,-11.1342,-14.4392,10.054,2.7812,5.534,0
-6.7327,14.6433,5.3507,3.3186,-7.2083,-11.6992,-17.0529,10.5563,4.6849,9.1797,0
-5.6081,14.2665,6.2619,2.8008,-6.3529,-12.5746,-12.8769,11.6868,4.6621,6.3892,0
-3.3017,12.934,7.3635,2.445,-9.3871,-10.8746,-12.6918,10.9414,4.7225,6.1651,0
-6.4233,15.4143,5.6012,1.9791,-11.2129,-8.2585,-16.461,15.6919,4.6175,6.577,0
-3.8461,13.9498,7.7415,3.9276,-9.486,-10.1858,-13.5535,10.7584,2.7411,7.9428,0
-2.8735,9.1108,7.9437,3.2519,-10.3475,-10.9029,-11.5713,12.4066,1.8741,6.8528,0
-5.2213,11.452,6.0197,4.2533,-8.8898,-9.5505,-12.1698,11.7596,2.0712,6.8901,0
-2.5632,14.6529,8.7432,4.0222,-9.7923,-8.7149,-13.2973,9.6625,2.7888,5.1248,0
-4.7766,13.3047,5.7712,2.4978,-13.1599,-10.0002,-13.2557,9.7597,4.0223,7.6485,0
-6.1751,12.3773,5.8061,1.5499,-9.0752,-10.6109,-13.6543,7.9795,3.9866,4.3833,0
-3.6739,13.9375,9.0008,0.9965,-14.8487,-10.0444,-10.5567,12.8437,3.3479,5.5047,0
-2.5531,12.0611,7.6744,3.718,-8.7291,-6.1807,-12.6689,10.2218,2.9951,3.5886,0
-4.8059,12.9075,6.1737,3.1883,-11.5531,-8.6386,-13.2572,10.9713,2.5416,6.475,0
-2.5261,12.2207,5.9726,2.5042,-12.3382,-11.5491,-13.9718,12.2969,3.4273,6.5326,0
-2.4874,13.3154,7.5455,2.8049,-9.9214,-11.1943,-16.9157,10.7839,5.1676,7.6315,0
-2.3157,15.3756,7.0928,3.2557,-11.2459,-10.7943,-12.3338,12.7911,2.8243,5.5669,0
-3.763,14.4232,4.794,-0.4845,-11.1452,-12.1512,-14.0197,10.7636,2.3536,8.4209,0
-3.2737,13.9721,7.8931,1.2515,-8.7608,-10.4338,-12.2518,9.3775,0.7028,7.469,0
-3.1992,12.1684,5.6553,4.6479,-12.1036,-7.8562,-14.6084,11.9429,2.5405,7.147,0
-4.58,13.2772,7.0212,1.4565,-9.2082,-11.09,-13.6004,9.4938,-0.8101,5.9556,0
-0.1449,14.6983,6.9309,2.5654,-10.2857,-9.4995,-15.0287,12.6568,4.1065,7.3195,0
-3.1061,13.5509,7.9691,3.8475,-10.8505,-11.1806,-13.1047,13.3088,1.1748,4.0409,0
-3.5167,13.5978,7.2198,3.3257,-10.6542,-8.0854,-15.6588,9.7425,2.8786,3.7774,0
-4.0276,16.0136,6.9911,3.3058,-12.2097,-11.2447,-13.8203,10.5087,4.9559,7.0787,0
-5.431,13.8912,7.7072,4.67,-7.9486,-11.8428,-14.4738,9.0989,2.6824,6.9417,0
-2.2828,13.4075,6.48,3.1874,-11.5722,-7.1859,-15.669,11.2624,6.0689,6.2524,0
-4.0489,12.9853,6.6892,5.019,-13.6372,-8.02,-15.3934,10.5853,2.3896,7.125,0
-6.161,14.2147,9.9963,0.915,-10.0349,-11.3131,-12.6187,11.014,2.0712,6.974,0
-1.0573,13.2351,8.0395,1.0198,-11.7541,-9.6116,-11.0313,11.5187,2.5639,6.2411,0
-5.6394,14.4282,8.2833,2.2816,-11.0245,-9.9213,-13.9126,10.8861,6.183,5.8716,0
-4.3013,12.5501,8.0761,2.6879,-11.2935,-8.3382,-11.1281,10.0846,0.2336,7.7534,0
-4.7907,14.7074,4.0047,4.2987,-12.1362,-9.224,-13.2361,9.5544,2.4229,7.2717,0
-3.605,14.398,9.9245,0.6134,-7.8936,-10.1636,-14.6057,8.9898,2.7498,7.6247,0
-3.9551,15.7882,4.7831,2.9416,-12.198,-9.7747,-11.9272,10.3541,-0.8729,6.5406,0
-3.1087,14.1279,8.8135,1.3532,-9.2991,-8.5314,-15.9254,11.4648,2.2772,6.1199,0
-3.2423,12.7906,5.9463,3.011,-11.9503,-11.9489,-12.2384,9.2621,4.0329,6.9361,0
-6.3525,12.5051,8.751,1.488,-11.016,-9.6271,-12.0824,10.608,2.1372,8.3757,0
-1.1554,14.9897,7.0878,1.7474,-11.5651,-9.5364,-12.6299,13.0877,4.0091,3.9876,0
-2.1859,12.0243,6.3839,3.3351,-7.3259,-5.6553,-12.3474,10.7105,3.8352,7.5737,0
-4.2448,16.2142,7.3049,3.7064,-9.3206,-9.6878,-11.9991,10.0594,2.196,4.5919,0
-3.1045,14.6898,7.6465,5.4715,-10.3278,-9.3171,-14.895,10.4046,4.0768,7.5158,0
-4.2047,13.414,4.683,2.4242,-8.9839,-9.4574,-12.5065,11.0599,3.044,5.2517,0
-2.7156,14.1529,7.6978,2.1707,-13.5495,-8.6744,-13.9757,9.6911,4.0737,5.6542,0
-2.1739,14.4469,7.9852,0.9108,-8.5015,-9.9283,-13.8114,11.2004,0.3691,6.8552,0
-5.3079,11.4924,4.6763,4.6288,-11.2633,-8.0196,-14.0612,8.4242,1.3587,8.0959,0
-3.9976,12.699,7.1998,3.7124,-8.6433,-8.1474,-13.7971,8.9962,2.4133,6.6326,0
-5.2094,12.0857,7.4755,2.8868,-10.2702,-11.4579,-13.6031,9.5989,4.3687,7.7951,0
-6.5331,12.1272,4.715,1.9847,-10.4446,-12.4946,-14.6403,9.4793,3.3444,6.3462,0
-4.8464,13.7867,6.1398,2.5523,-7.8093,-8.3095,-15.2069,12.2299,4.2505,4.5198,0
-2.5356,15.8283,5.276,1.5835,-8.7929,-9.9129,-12.4303,11.4962,3.6195,4.2525,0
-2.1928,15.2758,6.6157,2.8945,-12.6161,-9.5488,-12.3994,10.892,4.72,5.7411,0
-2.9169,11.9919,6.9245,2.6982,-9.9815,-10.8745,-13.4547,12.2244,2.3783,3.8323,0
-1.1394,15.5936,5.0214,3.9943,-11.0739,-9.9249,-12.8162,10.6337,1.8578,5.2064,0
-5.1381,12.2737,6.8591,1.8861,-9.2964,-8.0893,-14.1276,11.3444,3.783,6.9502,0
-3.6499,14.6355,7.6832,1.1033,-9.0157,-8.9892,-14.4024,11.0422,4.0584,5.9282,0
-2.1543,17.0672,5.7808,0.8882,-9.8637,-9.2378,-13.6038,13.1652,1.0255,7.2816,0
-4.6726,16.1005,9.9486,1.8098,-11.1438,-9.0308,-13.8382,10.9172,3.0715,3.3627,0
-3.7846,12.4868,6.2201,5.1252,-12.2042,-9.1004,-13.6759,10.5656,4.219,6.7523,0
-2.9079,14.9737,6.4629,2.0414,-11.9472,-11.5583,-8.8338,12.8523,1.0068,4.2585,0
-3.041,14.3423,7.7831,2.5773,-10.5076,-9.8283,-13.1287,7.6563,2.6888,4.9651,0
-3.501,17.9993,7.511,2.4895,-8.9367,-9.5961,-12.6273,11.8956,6.1183,4.5458,0
-3.0533,12.1319,7.7931,1.5817,-10.9455,-10.7628,-11.7938,12.363,1.1649,6.3246,0
-4.8282,11.6337,6.6343,2.497,-6.6794,-9.6707,-15.3239,10.1381,4.5655,9.3748,0
-6.1428,10.7015,9.7663,3.5442,-11.6219,-9.5182,-17.2111,10.9903,3.5252,7.6286,0
-5.2846,13.65,5.5717,3.3428,-11.6625,-10.9323,-14.7512,11.962,4.3211,5.8902,0
