f1,f2,f3,f4,f5,f6
-3.427145165267694860e-01,-8.022772692216189050e-01,-1.612857116660091350e-01,4.040508568145383950e-01,1.886185901210530202e+00,1.745778128318389577e-01
2.575503907227643663e-01,-7.444591576616721440e-02,-1.918771215299041488e+00,-2.651387544921687822e-02,6.023020994102643716e-02,2.463242112485286128e+00
-1.923609647811225232e-01,3.015473423336124670e-01,-3.471176970524331162e-02,-1.168678037619532040e+00,1.142822814515020546e+00,7.519330326867741388e-01
7.910319470430469124e-01,-9.093874547947389253e-01,1.402794310936099187e+00,-1.401851062792280889e+00,5.868570938002702908e-01,2.190455625809978546e+00
-9.905363251306883443e-01,-5.662977296027719154e-01,9.965136508764121936e-02,-5.034756541161992116e-01,-1.550663431066132691e+00,6.856297480602732697e-02
-1.062303713726104881e+00,4.735924306351815827e-01,-9.194242342338031504e-01,1.549934405017539429e+00,-7.832532923362370836e-01,-3.220615162056755798e-01
8.135172173696697540e-01,-1.230864316433955219e+00,2.274599346041294157e-01,1.307142754282428099e+00,-1.607483234561227547e+00,1.846338585323042125e-01
2.598827942484235320e-01,7.818228717773103575e-01,-1.236950710878081949e+00,-1.320456613084276309e+00,5.219415656168976403e-01,2.969846732331860584e-01
2.504928503458765388e-01,3.464482094969756898e-01,-6.800247215784908095e-01,2.322536971610035528e-01,2.930724732986812464e-01,-7.143514180263678126e-01
1.865774511144756564e+00,4.738329209117875251e-01,-1.191303497202648609e+00,6.565536086338297217e-01,-9.746816702273214394e-01,7.870846037424520381e-01
1.158595579007404064e+00,-8.206823183517104603e-01,9.633761292443218105e-01,4.127809269364983158e-01,8.220601599944900029e-01,1.896792982653947357e+00
-2.453881160028704989e-01,-7.537361643574895798e-01,-8.895144296255232952e-01,-8.158102849654382815e-01,-7.710170941410419976e-02,3.411519748166438881e-01
2.766907993300190549e-01,8.271832490360238044e-01,1.300189187790701945e-02,1.453534077157316862e+00,-2.646568332379560795e-01,2.720169166589618825e+00
6.256673477650062098e-01,-8.571575564162825511e-01,-1.070892498061112308e+00,4.824724152431852930e-01,-2.234627853258508989e-01,7.140004940920919863e-01
4.732376245735448461e-01,-7.282891265687277405e-02,-8.467937180684049769e-01,-1.514847224685864635e+00,-4.465149520670210759e-01,8.563987943234723232e-01
2.140937441302039612e-01,-1.245738778711988015e+00,1.731809258511819993e-01,3.853173797288367841e-01,-8.838574362011329955e-01,1.537251059455279067e-01
5.820871844599989631e-02,-1.142970297830623094e+00,3.577873603482832898e-01,5.607845263682343928e-01,1.083051243175277012e+00,1.053802052034902959e+00
-1.377669367957091051e+00,-9.378250399151227823e-01,5.150352672086597750e-01,5.137859509122087998e-01,5.150476863060479138e-01,3.852731490654721203e+00
5.708905106931669859e-01,1.135565640180598912e+00,9.540017634932023149e-01,6.513912513057980025e-01,-3.152692446403456139e-01,7.589692204932674269e-01
-7.728252145375718030e-01,-2.368186067400088746e-01,-4.853635478291034588e-01,8.187413938632255583e-02,2.314658566673508666e+00,-1.867265192591748058e+00
6.862601903745134679e-01,-1.612715871189651651e+00,-4.719318657894334690e-01,1.088950596967366069e+00,6.428001909546277037e-02,-1.077744777929306119e+00
-7.153037092599682234e-01,6.795977489346758382e-01,-7.303666317171366718e-01,2.164585895819748640e-01,4.557183990381378363e-02,-6.516003476058170873e-01
2.143944089325325653e+00,6.339190223180112271e-01,-2.025142586657607158e+00,1.864543147694276426e-01,-6.617864647683879831e-01,8.524333347962239626e-01
-7.925207384327006555e-01,-1.147364414668990140e-01,5.049872789804571438e-01,8.657551941701214782e-01,-1.200296407055776227e+00,-3.345012358409483744e-01
-4.749453111609561740e-01,-6.533292325737118933e-01,1.765454240281096876e+00,4.049817109609555321e-01,-1.260883954335045187e+00,9.178619470547760839e-01
2.122156197012633250e+00,1.032465260551146846e+00,-1.519369965954013413e+00,-4.842340728662513638e-01,1.266911149186622731e+00,-7.076694656187807464e-01
4.438194281462284341e-01,7.746340534293367774e-01,-9.269304715780829484e-01,-5.952535606180008043e-02,-3.241267340069072578e+00,-1.024387641334289833e+00
-2.525681513931603006e-01,-1.247783181964849497e+00,1.632411303931635249e+00,-1.430141377960632676e+00,-4.400444866969837610e-01,1.307405772860913418e-01
1.441273289066115515e+00,-1.435862151179439383e+00,1.163163752154959596e+00,1.023306101958704889e-02,-9.815086510479509307e-01,4.621034742632707526e-01
1.990596955734700302e-01,-6.002168771587946816e-01,6.980208499001891442e-02,-3.853135968617601992e-01,1.135173452512480419e-01,6.621306745210466804e-01
1.586016816145352060e+00,-1.237815498826849048e+00,2.133033374656266634e+00,-1.952087799522501887e+00,-1.517850950355833228e-01,5.883172064845765270e-01
2.809918677350326521e-01,-6.226995198205937943e-01,-2.081222503572752180e-01,-4.930009346588328234e-01,-5.893647569442115319e-01,8.496020970210246270e-01
3.570154859650473411e-01,-6.929095952606542097e-01,8.995998754332507064e-01,3.072995208766093334e-01,8.128621188389600905e-01,6.296288419236122369e-01
-8.289950109220722840e-01,-5.601810401969695707e-01,7.472936051232618171e-01,6.103702654334648425e-01,-2.090159396414813242e-02,1.173273833087819934e-01
1.277664895788424904e+00,-5.915713888358299366e-01,5.470973811700379219e-01,-2.021926524338940601e-01,-2.176812032272202879e-01,1.098776851987190106e+00
8.254163489880298465e-01,8.135096360006385252e-01,1.305478807154329068e+00,2.100384163275904881e-02,6.819529712949639055e-01,-3.102667565934560390e-01
3.241663524884421110e-01,-1.301430543676845852e-01,9.699596499271818939e-02,5.951570254369136226e-01,-8.182206832334725233e-01,2.092387275685460235e+00
-1.006017381499701990e+00,-1.214188612787732158e+00,1.158110873500067806e+00,7.916626939629358706e-01,6.241198170521551347e-01,6.283455092642799000e-01
-1.224677284691462302e-02,-8.972543714858315367e-01,7.580455819372633464e-02,-6.771617115121116859e-01,9.751197334177511555e-01,-1.470573815021386510e-01
-8.254971967925115450e-01,-3.213858416529934425e-01,4.129314542756243323e-01,-5.637245528039747100e-01,-8.222203955664314501e-01,2.436872114919123034e-01
2.449665711087227749e-01,-5.069431753711297617e-01,-4.710383056183227724e-01,2.320499373576362934e-01,-1.448084341497324123e+00,-1.407463774376555232e+00
-7.184442212524360105e-01,-2.134471517118472494e-01,3.109075655980045871e-01,1.475356216949551991e+00,8.576596232020193833e-01,-1.599385299634271118e-01
-1.901620790268883018e-02,-1.002529364637808840e+00,-1.851313599238993066e-02,-2.886586389201383218e-01,3.227185603380894885e-01,-8.272309435523229615e-01
5.193465142411722857e-01,1.532738913002577696e+00,-1.087601484568575944e-01,4.017117220989414594e-01,6.901439917111125144e-01,-4.012204718858362607e-01
2.240924818104167715e-01,1.259240078179485987e-02,9.767609854883171905e-02,-7.730097838554664813e-01,2.451017425894271365e-02,4.979982912454497535e-01
1.451143607795041701e+00,9.592708260852068625e-01,2.153182457511556347e+00,-7.673475628880495059e-01,8.723206367206781664e-01,1.833420057383517432e-01
2.189802933217672276e+00,-8.082982853551514690e-01,-8.397218421807760569e-01,-5.993926454440221541e-01,-2.123895724309806887e+00,-5.257550216807610477e-01
-7.591326615536979627e-01,1.503937864762076304e-01,3.417559757771594375e-01,1.876170839215886232e+00,9.504238381860502516e-01,-5.769036556624030920e-01
-8.984146713483579516e-01,4.919191715065057147e-01,-1.320233207020642174e+00,1.831458765854353743e+00,1.179440120721287011e+00,-4.691756521047047990e-01
-1.713134529090877489e+00,1.353872374165412840e+00,-1.145398452526178862e-01,1.237816311973461758e+00,-1.594427658794367098e+00,-5.993750229537728735e-01
5.243699718183165819e-03,4.698059376474205545e-02,-4.500654714792436395e-01,6.228499323474987470e-01,-1.067620429382594383e+00,-1.423794850212934948e-01
1.202956317118988594e-01,5.144388340587490172e-01,7.116148780888897907e-01,-1.124642091837869229e+00,-1.534114170735622285e+00,1.277676821898509063e+00
3.323140119795916503e-01,-7.484865365565536166e-01,1.551151975522522930e+00,1.156746342928586663e-01,1.179297184063826442e+00,6.751848141010895199e-02
2.060747924881987103e+00,1.755340842443204430e+00,-2.489641484790734993e-01,9.715709509543554168e-01,6.453759495851475458e-01,1.368631557532348664e+00
-9.649234605801044751e-01,6.860514599984393058e-01,1.058424486849587787e+00,-1.758739486423114284e+00,-1.183258512665775086e+00,-2.039232177760100573e+00
-2.694068344445577634e-01,7.175422557959623138e-01,1.502357052096028101e+00,7.409478041977518581e-02,1.628615545571291845e+00,-1.380101458214891386e+00
-1.703382439355154654e+00,-5.554769889661877874e-02,3.840654489393072746e-01,-3.269474809409311095e-02,-2.067442100039876607e+00,-8.912003951278840708e-02
-1.304469500504853219e+00,6.696725488300384610e-01,3.665982460968482681e-01,-9.398797863273552489e-01,-5.138669173366935405e-01,-1.059213521888951570e+00
-6.267909727317187707e-02,9.551423205012382622e-01,-9.857260463355437263e-01,5.040465155178444068e-01,-5.302576183724407866e-01,-7.928728322623441738e-01
-1.070303599545578271e-01,-1.035242322419374084e+00,-5.536493053471820414e-01,-1.197877892588848470e+00,1.964725132916389283e+00,3.526355197172861139e-02
-6.997255079925855936e-01,2.139799107342220119e-01,-1.123280496908298232e-01,-2.209695995332229823e-01,6.141667000434252177e-01,7.575077100473051050e-01
-5.305011476105274681e-01,-5.758182406446800128e-01,-2.750516971516440146e-01,-2.301921164735584835e+00,-1.515191062198552263e+00,1.366874267444524671e+00
1.644967713501283679e+00,-2.490360395563783191e-01,5.765569630557664249e-01,3.112501545435361061e-01,3.078880808455237705e+00,1.119574911434576769e+00
-1.279175914807665349e-01,-9.555404406004257556e-01,-1.606446320257572502e+00,2.034636358672231027e-01,-7.563507452843033496e-01,-1.422253709597674165e+00
-6.465728842425265688e-01,-1.081548003614394959e+00,1.687141635072564760e+00,8.816397569494505149e-01,-7.972641316617372007e-03,1.479944138890025851e+00
7.736830764761830348e-02,-8.612842013282636655e-01,1.523124077269657262e+00,5.389100436846586684e-01,-1.037246154326456393e+00,-1.903386780836081871e-01
-8.756182533847571836e-01,-1.382799730964336060e+00,9.261775475316413875e-01,1.909416640470130488e+00,-1.398567573819141208e+00,5.629692366905708623e-01
-6.506425691218269414e-01,-4.871253837646960516e-01,-5.923939242388691628e-01,-8.639907696798160286e-01,4.852162794482699215e-02,-8.309501164110377758e-01
2.704568257798388164e-01,-5.023810944913695287e-02,-2.389480468664097468e-01,-9.075636620415978850e-01,-5.767713305683327407e-01,7.553912258257560186e-01
5.009171876243807553e-01,-9.775552447985510485e-01,9.933230542922587281e-02,7.513871233717890341e-01,-1.669405281121371765e+00,5.433601923799350475e-01
-6.626237589458466859e-01,5.705986685931593305e-01,-7.632591565425168589e-01,-1.804882100664519040e+00,-1.627542437883162663e+00,4.808494666138199425e-02
2.597225017214818688e-01,-9.043166251044085779e-01,6.385924587773739169e-01,-1.661520062268959874e+00,-6.607979864731657049e-02,-1.211016199762456669e+00
-6.518361078021591704e-01,4.739867131641401637e-02,-8.604133652839524027e-01,-3.845555442298253523e-01,1.006292809214440531e+00,-5.768918695231487481e-01
8.356921120651418233e-01,-1.129706854657618109e+00,5.298041779152827813e-01,1.441568620657900368e+00,-2.471644500127289312e+00,-7.968952554704767932e-01
5.770721271805400177e-01,-2.030453860429926871e-01,3.711458733713088320e-01,-6.039851867158205767e-01,8.658978747289991507e-02,-1.556772353920794771e-01
1.167782061659807358e+00,2.544208433012131176e-01,3.376026620752021756e-01,-4.118769661224673806e-01,-4.876062240724935437e-01,-4.325581878196209096e-01
3.944521423782968439e-01,-4.209844808202629629e-01,2.897748568964129134e-01,2.075400798645438805e+00,8.711247034316923488e-01,-3.260235321678411347e-01
1.201213922163944847e+00,-4.080753730215513908e-01,-2.038124535177853858e+00,-1.008086310917404083e+00,-1.870791921025855675e+00,-3.515134840413086659e-01
1.841837918955169934e-02,1.676437312275282698e+00,3.269273737641626432e-01,-2.191005288088642422e-01,8.294055811834891712e-01,-2.211135309007885130e+00
2.356145581085659357e-01,7.708651938869668374e-01,-1.478586245779841546e+00,1.143754043206929083e+00,3.384964074944141199e-01,-4.152879139008012754e-01
6.327818661062848404e-01,2.270692857804395892e+00,1.818662550584951576e-01,2.482205863003360824e-01,-4.593608995402441164e-01,-8.498443694647918045e-01
8.303358165442455974e-01,-8.560838259088672242e-01,7.156623721939246729e-02,-4.776574467651166778e-01,4.789798257463918629e-01,3.336621052869482851e-01
1.037539944257899194e+00,-5.100163988547470328e-01,-2.698749352933712542e-01,-9.787637157823073641e-01,-4.442932600761115847e-01,3.773004930448521921e-01
5.756988616645351442e+00,4.077834675822374244e+00,5.869605920105660068e+00,6.355637858804950469e+00,5.413434903223700800e+00,6.876795812558065712e+00
4.226210800896426534e+00,3.755345296688583190e+00,3.221279751095721622e+00,6.496044311489183265e+00,5.654365656354057634e+00,4.944415329089545175e+00
5.279968626319820224e+00,3.874510952701623268e+00,7.445751979616826333e+00,5.129221181975227140e+00,5.109394794604892986e+00,5.725766623898691954e+00
5.481009231736713616e+00,5.223884024279131566e+00,4.209525544554687748e+00,5.471468357135996108e+00,6.882024496475033892e+00,6.345420046154977456e+00
6.593186626639397474e+00,4.488784323568815182e+00,4.010395179741419014e+00,4.874213079900352241e+00,5.055724912288694917e+00,6.094191518470948310e+00
3.307535370285180854e+00,6.529550319460613927e+00,4.841992101421010553e+00,4.573118930052579856e+00,3.987895624739832279e+00,3.345143328134230654e+00
5.823170583961914559e+00,5.073317967188403443e+00,3.710039100258946121e+00,3.704921227936384120e+00,4.664215300709871670e+00,6.669021525289393182e+00
4.740408648636394773e+00,3.496857046881893805e+00,4.754256935914055404e+00,4.727276430252329575e+00,2.303113357058428345e+00,4.945705133482188209e+00
4.769065469791321732e+00,5.696206364813418688e+00,6.848956094945345185e+00,6.126565029547757391e+00,4.731111309445169333e+00,3.893474091258329661e+00
7.573359803249860356e+00,5.059218434014487897e+00,5.013929291912946340e+00,4.975874912889996615e+00,5.198084760767854640e+00,4.855639588076057223e+00
4.426337993119763503e+00,4.453141058759607418e+00,4.967246729784001502e+00,4.456575228866235250e+00,4.287154217322835414e+00,5.106430227691896917e+00
4.745022782579145115e+00,6.503992988582688817e+00,2.349030191606988005e+00,6.091506851922462218e+00,6.246085192497629279e+00,2.926609767591850542e+00
4.657312405919650899e+00,4.628559134004208708e+00,3.592488305282178551e+00,4.222183312409124589e+00,3.889424154534171230e+00,6.752270443423622481e+00
5.935678393147461485e+00,6.271555094994158530e+00,5.721672064043235473e+00,3.870948228782770784e+00,4.475479733720225894e+00,5.489374561227918115e+00
3.777872191108054611e+00,5.712998430172388176e+00,4.759674601841864749e+00,4.625179192450402432e+00,5.710959968203491499e+00,5.444263311486039925e+00
4.639033834180920302e+00,6.159329803364247624e+00,3.918936672400102683e+00,5.615935606944264080e+00,5.593101257968383422e+00,4.690453560686009382e+00
5.326133022242117931e+00,3.748886423614696817e+00,5.924027019206900668e+00,4.815097863557010527e+00,4.477276979480960151e+00,6.049009225836889492e+00
4.295656309457240418e+00,3.591538703636440566e+00,3.443370826476096269e+00,5.606009951345639841e+00,3.719570647503716909e+00,6.754794181984364876e+00
2.918070592116277950e+00,6.696456368290037986e+00,5.211017467202618825e+00,4.903286888129607668e+00,4.455080913191050485e+00,5.399136114352071303e+00
4.962365297575151324e+00,6.103301882016521240e+00,5.114227648662039272e+00,5.150301761461877348e+00,4.636387787786143910e+00,4.943054376278932516e+00
5.307801768892058902e+00,3.289831607343374209e+00,3.651814577894286984e+00,5.743264094022714872e+00,5.170865438127941971e+00,4.816016663647320506e+00
5.018433933065392871e+00,5.347581705361671212e+00,4.460240319690638167e+00,4.221695274597687231e+00,5.195845255097681914e+00,4.021627222384967837e+00
5.408252755714471505e+00,3.297416395762159613e+00,6.029155637325644079e+00,5.472597482413043224e+00,5.256029734313875323e+00,5.982690983945514240e+00
6.665474444462576642e+00,6.014370065018130873e+00,3.159125768668354706e+00,3.720423033264298240e+00,4.375181422304320833e+00,5.026091050210833799e+00
5.517659020469123377e+00,4.274256186846534078e+00,5.186766764477078517e+00,4.244617067646677455e+00,4.388482197008051422e+00,3.593338903151777508e+00
4.076766753889096151e+00,3.648315394383666366e+00,4.024126747022667594e+00,6.053641796607839964e+00,4.050601111168057322e+00,7.632382064837390345e+00
5.493317900880889226e+00,5.184836123694873677e+00,4.141642219818786330e+00,5.700309879408991698e+00,4.424362173762226291e+00,5.122009814645361203e+00
7.560084538268794674e+00,4.903940100275350211e+00,6.149273326285675800e+00,4.296823574874112595e+00,4.965011509503038489e+00,6.770800635635509934e+00
4.373032942212232932e+00,6.812448557996928500e+00,5.707751935455475767e+00,4.437533224105732366e+00,5.632407739055521390e+00,5.972554449626730211e+00
5.621809962217196421e+00,3.429775280109543800e+00,4.272862824175131635e+00,4.752481364448494894e+00,4.925566570899953867e+00,5.620672097550677648e+00
5.177701000933254250e+00,3.664655641289898735e+00,5.380197851005963372e+00,5.610585745283823478e+00,5.559790447931039381e+00,6.080780725554621569e+00
5.833922154548903727e+00,5.459180079228437066e+00,4.929834288541353082e+00,3.339039066484008611e+00,5.429618219132585466e+00,5.207687687163111256e+00
5.271578837195373346e+00,3.723251424179690794e+00,3.918943459591737621e+00,6.053152853332903760e+00,4.960444846143344577e+00,5.681500697372624309e+00
5.028318376130461509e+00,5.029756139495745515e+00,5.938283805975997254e+00,4.483955271782626539e+00,5.096120776940983532e+00,4.537724711294957913e+00
4.565503772567684138e+00,4.690827876531360907e+00,5.222133771633712840e+00,4.521251378336522464e+00,6.255756125573521231e+00,4.105392697780495759e+00
4.813128355838641070e+00,4.560268941725825087e+00,6.446977884353732868e+00,5.196554776511574936e+00,6.031844539468634636e+00,3.514439626963028029e+00
5.267050265869258396e+00,5.889630795623436832e+00,5.082283989275424574e+00,6.065480375065351204e+00,4.482711549899628167e+00,6.409347440185579892e+00
7.298898123619250278e+00,4.637161439560340881e+00,4.554497478599228266e+00,6.453384477117700690e+00,6.579572145730712585e+00,4.477139972846731375e+00
4.579813182904143076e+00,4.718215391139493065e+00,3.655549488965722738e+00,4.081348053515801766e+00,3.995859233247932352e+00,4.232202434895871335e+00
4.965315112613218673e+00,5.234214732536520920e+00,6.550500492814077091e+00,4.001645959261209029e+00,5.984322398476583871e+00,4.786011155774491321e+00
4.950536290347566926e+00,5.674819492166603752e+00,3.877277978437701389e+00,5.382409746184050547e+00,5.166452208213056174e+00,5.492451264008149536e+00
5.289168643907817824e+00,7.455300139910894686e+00,4.362260015748684161e+00,4.469003044998181906e+00,4.376859473575235526e+00,4.444522880839745227e+00
4.362612872693482302e+00,6.189016531107551344e+00,6.420504247989854640e+00,4.429253706250523948e+00,4.167644426895771304e+00,5.471415556386403978e+00
4.447776955719028535e+00,5.632931817755510551e+00,5.202923020851299540e+00,3.484255885002768061e+00,6.547505201330061197e+00,6.795877673095521487e+00
4.387211309515613777e+00,4.612298440064015459e+00,5.285865390724905133e+00,5.334456789987024550e+00,5.658544272672830111e+00,7.010204538766349636e+00
4.823052772505950436e+00,4.201702755461546701e+00,3.620680771985473001e+00,4.269069960058081037e+00,4.966873027126203155e+00,6.794557863517788121e+00
4.482388700963828576e+00,5.223787951638898086e+00,4.983577103927247620e+00,6.188393273448084209e+00,7.526932425873621213e+00,4.469131227079679469e+00
4.510560557481777977e+00,6.044160877069072235e+00,5.681891489626311298e+00,6.846707325736034022e+00,5.583928185325963689e+00,4.640707909212940407e+00
5.590654830692309396e+00,6.108703580582908188e+00,5.820482181197363936e+00,5.507274031107297851e+00,6.066674689589153679e+00,6.169295590445672772e+00
6.382158991037527151e+00,5.648709887589642875e+00,4.832881919683146066e+00,5.146713686433322721e+00,6.206508966508357261e+00,4.183064329012763594e+00
5.368673308872900840e+00,4.606661187672639102e+00,5.028744822934817726e+00,6.278451862607298928e+00,5.191099068019902951e+00,5.046436548156148838e+00
3.640143859020080974e+00,5.746253566027220927e+00,5.645484181141075197e+00,7.163254723305460203e+00,4.692221765046999060e+00,5.219150327663938604e+00
5.249383683710755477e+00,6.577453279763474825e+00,4.904704467613047569e+00,5.279021525770339451e+00,5.607896509716539413e+00,5.186609123156357803e+00
4.553566385449471454e+00,5.194089992898307528e+00,6.073631749859772277e+00,3.973484700588939766e+00,5.132969674146876216e+00,4.299879185060826892e+00
6.195046628924842480e+00,3.476813095216225058e+00,4.441078152728411332e+00,5.377211875064521251e+00,6.565524029234340198e+00,4.934249738927012352e+00
4.444800473306801614e+00,6.881157069440590135e+00,3.551986099583755774e+00,2.801194043379918064e+00,5.440014450053332062e+00,4.497945775647388622e+00
3.978767182869286767e+00,5.708356447299353320e+00,5.243800713771198829e+00,4.435921369263271963e+00,3.719695601329105372e+00,5.872457328280145106e+00
5.650201177958661169e+00,4.900824136220617078e+00,6.846636996047665846e+00,3.929915233673847652e+00,3.474474829075261173e+00,4.308091930118755464e+00
4.954413983644502473e+00,5.243339449322691692e+00,4.758763942143669823e+00,5.352055396514296959e+00,3.748460575809556161e+00,6.443764604073259683e+00
4.917848821607431198e+00,6.117295831588127619e+00,5.342725346377704021e+00,5.456753219153783974e+00,5.569767280232204243e+00,5.447708560017314738e+00
5.642722759867544013e+00,6.329152530132430954e+00,5.196521169701470377e+00,5.709003757588511974e+00,4.910264305712773059e+00,6.440117215449472354e+00
4.323607697940730077e+00,6.800940432910815403e+00,4.959842049355656535e+00,3.569224897881952074e+00,5.128104414910788833e+00,4.318948342525119166e+00
5.840643548988723843e+00,4.347376020697609533e+00,4.553816566785219955e+00,3.110459269054469011e+00,4.547693680750922951e+00,2.576120673371043335e+00
3.416097176514276690e+00,5.760414656144297041e+00,5.785800158650832081e+00,5.425457561784964966e+00,4.033023856870786794e+00,4.952288643858020478e+00
4.996397460909431487e+00,3.841635310807457238e+00,6.503398301767150613e+00,5.877362290575671722e+00,4.779035826170336065e+00,5.026885838994530786e+00
5.208382807947552706e+00,2.958265131575709361e+00,4.752822617479402822e+00,4.318015752002201779e+00,3.998379990105084492e+00,4.718899707114045050e+00
6.797686526849522792e+00,5.640842861267009845e+00,4.428821010217203202e+00,5.572582781356159032e+00,6.399355436586001922e+00,5.924633682912769039e+00
5.059630369920173898e+00,4.353063222294426104e+00,5.698223313613589802e+00,5.393485385421749712e+00,5.895193220027731940e+00,5.635171801681969406e+00
6.049552715319334695e+00,4.464764788439431697e+00,6.317394065634325706e+00,5.197599604692399566e+00,7.075260872625265485e+00,4.310812181910431917e+00
6.735963803165249786e+00,5.197910783462647899e+00,4.348581996385551207e+00,4.516114165945678494e+00,4.679652691805680220e+00,5.424165946401916294e+00
5.522835488035499729e+00,4.426299996061421105e+00,4.975645407739016868e+00,7.142270358611863657e+00,6.727543170100711123e+00,5.436323669674032466e+00
5.038003478168199933e+00,5.120031326718261333e+00,5.613517972730416972e+00,3.977207434801594665e+00,4.742623462576655236e+00,3.331415926122410553e+00
5.399223122605278924e+00,5.647195939702741363e+00,4.516813537700626213e+00,6.573986763290032620e+00,3.774234336997658978e+00,3.535625119790180015e+00
5.224451818559971983e+00,6.047098302612154086e+00,6.683927691457868470e+00,4.541115737131059760e+00,6.078680833431295838e+00,4.961491530499293034e+00
4.827372700059179955e+00,5.883659937486672042e+00,5.652322878413420071e+00,3.423607843015750607e+00,6.476540349725896206e+00,6.380091354147451099e+00
4.374437298490470916e+00,5.395803533437408817e+00,5.494030186282738981e+00,5.260673765823907111e+00,4.449694846154580219e+00,4.328376632061948115e+00
4.974445929008554756e+00,6.172729019259364236e+00,5.543600154594432006e+00,4.629385667913894054e+00,5.771698710648344388e+00,2.151457379369924539e+00
6.148765700372103460e+00,3.260286221221900149e+00,4.637559058596868233e+00,3.880330105373856142e+00,3.705318524279094028e+00,6.160826787378519853e+00
4.532298798688108477e+00,5.346503881730715335e+00,4.953079421120816228e+00,5.477040827223121688e+00,5.076821891060255609e+00,3.717007775811430381e+00
5.996266819447139795e+00,4.506243416838687565e+00,3.443418101340248949e+00,4.571884839034087378e+00,6.500759790634310420e+00,5.850221742113492773e+00
4.651347865592140529e+00,4.650742295681570937e+00,4.678364948782617105e+00,7.076747983560840893e+00,5.381935452231553008e+00,5.430041647191069742e+00
6.030283454031842183e+00,5.238789159026513431e+00,4.740957854179296938e+00,4.803650150915022010e+00,4.928398740585936189e+00,4.962777763490158200e+00
5.727629543636980181e+00,5.051945885807299419e+00,5.732640077215579666e+00,4.919283419891417708e+00,5.078635190316090231e+00,3.001799315467892360e+00
5.916327674702481332e+00,5.346488475897992920e+00,5.998010109859651884e+00,2.103744621806310722e+00,7.088374704780727953e+00,4.860410371844825939e+00
6.108182816737516063e+00,3.960094072874468907e+00,5.612773905062569568e+00,3.946584436826343634e+00,4.376231039304195214e+00,6.914031353866786134e+00
4.809317599236653251e+00,5.217432873179722819e+00,5.870067730688754537e+00,5.495681887972605040e+00,5.150418905143576254e+00,5.364961002466225537e+00
7.403415585238274588e+00,4.942381202966414477e+00,5.201099046714967145e+00,6.050654396007612235e+00,6.105525932957983848e+00,6.187030305560380583e+00
5.638730222029185057e+00,3.856995087269516453e+00,6.633431532301095501e+00,3.853654606981312014e+00,5.302635465239033508e+00,4.245724149980642181e+00
4.935861653407007665e+00,5.328762410303480301e+00,5.321357215450273515e+00,5.421920754235284967e+00,6.613711269058646813e+00,5.453534301513979443e+00
